epoch,dense_23_acc,dense_23_loss,dense_24_acc,dense_24_loss,dense_25_acc,dense_25_loss,dense_26_acc,dense_26_loss,loss,val_dense_23_acc,val_dense_23_loss,val_dense_24_acc,val_dense_24_loss,val_dense_25_acc,val_dense_25_loss,val_dense_26_acc,val_dense_26_loss,val_loss
0,0.94775516,0.11691716,0.96322715,0.08971317,0.9540133,0.10775155,0.9604861,0.10149642,0.4158955505898838,0.96388763,0.08298667,0.9787487,0.06492108,0.9713182,0.05939225,0.9827612,0.046681415,0.25398245906844175
1,0.96000725,0.088466816,0.97992104,0.053666722,0.9692046,0.07218199,0.98015225,0.056833845,0.27115587381925393,0.9621043,0.07115436,0.9829098,0.03734321,0.9579432,0.09221401,0.91172534,0.2201859,0.42089821058211163
2,0.9648784,0.08119298,0.98269516,0.047890164,0.9719126,0.069265865,0.9827942,0.054878198,0.25323086904748865,0.9659682,0.07337999,0.98350424,0.043991942,0.9768168,0.05898199,0.9843959,0.043116014,0.21947064421332577
3,0.9665461,0.078640774,0.9837684,0.046830684,0.9735969,0.07072017,0.9836198,0.057122573,0.2533163313792781,0.95987517,0.072600916,0.9838015,0.049497075,0.9775598,0.053697918,0.991232,0.027916659,0.20371308242017985
4,0.96836245,0.07352098,0.9839501,0.04689553,0.97341526,0.086061105,0.9805981,0.10530116,0.31178037936143493,0.97339875,0.06390818,0.98959726,0.039876927,0.9803834,0.05342795,0.9890028,0.0466833,0.2038967423983912
5,0.9687918,0.08041873,0.9850729,0.050669048,0.97235847,0.09877525,0.9853701,0.051133186,0.28099737243959894,0.96983206,0.06632878,0.98068064,0.04754898,0.9756279,0.057138488,0.9872195,0.072964154,0.24398087191973286
6,0.97049254,0.07328694,0.9852215,0.049677458,0.97610676,0.07137304,0.9849078,0.057665434,0.2520043782927201,0.97250706,0.06424164,0.9890028,0.035750464,0.95824045,0.094315,0.9827612,0.10616263,0.30047011538757606
7,0.9699146,0.075065285,0.9855683,0.05100534,0.97481877,0.07864648,0.98390055,0.081811935,0.28653061969779664,0.9667112,0.07205526,0.9873681,0.07184218,0.97785705,0.053128008,0.9918264,0.06203519,0.25906107783575744
8,0.9713182,0.07206475,0.9848087,0.06305758,0.9747362,0.085444696,0.98541963,0.0751963,0.29576458915665893,0.9692376,0.06398759,0.9901917,0.042229075,0.9854362,0.039409377,0.9893001,0.031110233,0.17673667502957568
9,0.96925414,0.09919661,0.9866251,0.04807246,0.9748683,0.09597983,0.98583245,0.09655259,0.33980246352671517,0.97087234,0.0655319,0.98766536,0.06477669,0.98231536,0.045763526,0.957646,0.6078551,0.7839267276105873
10,0.97211075,0.07340933,0.98710394,0.043991413,0.9766682,0.07835291,0.9869883,0.06473627,0.2604912555864746,0.97696537,0.051637895,0.9916778,0.026565861,0.9827612,0.04154909,0.99420416,0.019245991,0.13899936047687064
11,0.9756609,0.06113924,0.9897954,0.033640828,0.9793101,0.065987274,0.9901587,0.056818575,0.2175869324577063,0.97815424,0.048226558,0.983207,0.041638013,0.96269876,0.078094974,0.99227226,0.022999192,0.1909591391312802
12,0.97495085,0.073578104,0.98974586,0.03595563,0.97855055,0.07978731,0.9919585,0.035481755,0.22480430405032728,0.9686432,0.062366806,0.9738445,0.0725284,0.9882598,0.03598942,0.97339875,0.061278198,0.23216342071392662
13,0.9763214,0.061466724,0.98956424,0.044463146,0.9799541,0.0627521,0.9917934,0.039235536,0.2079186126845735,0.9802348,0.050675455,0.9791945,0.14462043,0.98528755,0.044125587,0.99405557,0.023036914,0.2624588525165856
14,0.9760737,0.06204696,0.9893826,0.038407244,0.97691584,0.14088535,0.9914631,0.03918636,0.28052673480789625,0.9775598,0.05176054,0.9854362,0.04742389,0.98335564,0.1088764,0.98692226,0.06295863,0.27101975833727265
